S11(1535) (1/2)- **** 14.7 14.6 0 1.4 0.8 0 0
S11(1650) (1/2)- **** 12.2 7.8 0 1.7 2.2 5.2 0
D13(1520) (3/2)- **** 8.6 0.4 0 5.9 2.5 0 0
D13(1700) (3/2)- ***  5.8 0.2 0 27.9 0.9 0.4 0
D15(1675) (5/2)- **** 5.3 2.5 0 5.7 0.5 0.4 0
P11(1440) (1/2)+ **** 20.3 0 0 3.3 0.6 0 0
P11(1770) (1/2)+ ***  4.2 5.7 0 13.9 3.7 2.8 1.1
P11(1880) (1/2)+ --- 2.7 3.7 4.6 8.7 2.3 0.1 3.7
P11(1975) (1/2)+ --- 2 0.1 3.1 4.6 2.5 1.1 0.6
P13(1720) (3/2)+ **** 14.1 5.7 0 2 3.3 4.3 0.3
P13(1870) (3/2)+ --- 6.1 4.6 4.5 4.4 1.8 0.9 7
P13(1910) (3/2)+ --- 1 0.9 8.2 17 3.3 0 2.5
P13(1950) (3/2)+ --- 4.1 0 6.3 7.8 3.9 1.9 1.4
P13(2030) (3/2)+ --- 1.8 0.4 3.3 7.1 2.9 0.9 0
F15(1680) (5/2)+ **** 6.6 0.6 0 1.7 3 0.1 0
F15(1980) (5/2)+ --- 1.3 0.8 2.9 15.5 2.2 0 0.4
F15(2000) (5/2)+ **  0.9 1.9 3.5 9.8 7.8 0.5 0.6
F17(1990) (7/2)+ **  2.4 2.2 1.6 5 1.2 0 1.1
