LECROYWR204MXi-AðÇ,51184,Waveform
Segments,1,SegmentSize,502
Segment,TrigTime,TimeSinceSegment1
#1,22-Jan-2015 11:35:11,0                 
Time,Ampl
-2.71162e-007,-0.00330688
-2.69162e-007,-0.00490682
-2.67162e-007,-0.00650676
-2.65162e-007,-0.00330688
-2.63162e-007,-0.00970664
-2.61162e-007,-0.00170694
-2.59162e-007,-0.00170694
-2.57162e-007,-0.00970664
-2.55162e-007,-0.00650676
-2.53162e-007,-0.00490682
-2.51162e-007,-0.0081067
-2.49162e-007,-0.00650676
-2.47162e-007,-0.00650676
-2.45162e-007,-0.0081067
-2.43162e-007,-0.0081067
-2.41162e-007,-0.0081067
-2.39162e-007,-0.00650676
-2.37162e-007,-0.00650676
-2.35162e-007,-0.00330688
-2.33162e-007,-0.0081067
-2.31162e-007,-0.00170694
-2.29162e-007,-0.00330688
-2.27162e-007,-0.00490682
-2.25162e-007,-0.00490682
-2.23162e-007,-0.000107004
-2.21162e-007,-0.00490682
-2.19162e-007,-0.00490682
-2.17162e-007,-0.00330688
-2.15162e-007,-0.00490682
-2.13162e-007,-0.00490682
-2.11162e-007,-0.00650676
-2.09162e-007,-0.00330688
-2.07162e-007,-0.00650676
-2.05162e-007,-0.00490682
-2.03162e-007,-0.00490682
-2.01162e-007,-0.0081067
-1.99162e-007,-0.00330688
-1.97162e-007,-0.00330688
-1.95162e-007,-0.00330688
-1.93162e-007,-0.00330688
-1.91162e-007,-0.00650676
-1.89162e-007,-0.00650676
-1.87162e-007,-0.00650676
-1.85162e-007,-0.00490682
-1.83162e-007,-0.00650676
-1.81162e-007,-0.00170694
-1.79162e-007,-0.00490682
-1.77162e-007,-0.00490682
-1.75162e-007,-0.00490682
-1.73162e-007,-0.0081067
-1.71162e-007,-0.00490682
-1.69162e-007,-0.000107004
-1.67162e-007,-0.00970664
-1.65162e-007,-0.00170694
-1.63162e-007,-0.00490682
-1.61162e-007,-0.00650676
-1.59162e-007,-0.00170694
-1.57162e-007,-0.00170694
-1.55162e-007,-0.000107004
-1.53162e-007,-0.0081067
-1.51162e-007,-0.00330688
-1.49162e-007,-0.00490682
-1.47162e-007,-0.00170694
-1.45162e-007,-0.00490682
-1.43162e-007,-0.00650676
-1.41162e-007,-0.00650676
-1.39162e-007,-0.00170694
-1.37162e-007,-0.00170694
-1.35162e-007,-0.00330688
-1.33162e-007,-0.00490682
-1.31162e-007,-0.00330688
-1.29162e-007,-0.00490682
-1.27162e-007,-0.00650676
-1.25162e-007,-0.00490682
-1.23162e-007,-0.00490682
-1.21162e-007,-0.00330688
-1.19162e-007,-0.00650676
-1.17162e-007,-0.00490682
-1.15162e-007,-0.00490682
-1.13162e-007,-0.00490682
-1.11162e-007,-0.000107004
-1.09162e-007,-0.00490682
-1.07162e-007,-0.00330688
-1.05162e-007,-0.00650676
-1.03162e-007,-0.00330688
-1.01162e-007,-0.00170694
-9.91618e-008,-0.00330688
-9.71618e-008,-0.00650676
-9.51618e-008,-0.00650676
-9.31618e-008,-0.0081067
-9.11618e-008,-0.00490682
-8.91618e-008,-0.0081067
-8.71618e-008,-0.00970664
-8.51618e-008,-0.00330688
-8.31618e-008,-0.0081067
-8.11618e-008,-0.00330688
-7.91618e-008,-0.00490682
-7.71618e-008,-0.00650676
-7.51618e-008,-0.00650676
-7.31618e-008,-0.00170694
-7.11618e-008,-0.00490682
-6.91618e-008,-0.00330688
-6.71618e-008,-0.00330688
-6.51618e-008,-0.00650676
-6.31618e-008,-0.00650676
-6.11618e-008,-0.00170694
-5.91618e-008,-0.00650676
-5.71618e-008,-0.00490682
-5.51618e-008,-0.00330688
-5.31618e-008,-0.00970664
-5.11618e-008,-0.00490682
-4.91618e-008,-0.0081067
-4.71618e-008,-0.0129065
-4.51618e-008,-0.0113066
-4.31618e-008,-0.0129065
-4.11618e-008,-0.0145065
-3.91618e-008,-0.0145065
-3.71618e-008,-0.0145065
-3.51618e-008,-0.0161064
-3.31618e-008,-0.0161064
-3.11618e-008,-0.0193063
-2.91618e-008,-0.0193063
-2.71618e-008,-0.0225061
-2.51618e-008,-0.0241061
-2.31618e-008,-0.027306
-2.11618e-008,-0.027306
-1.91618e-008,-0.027306
-1.71618e-008,-0.0289059
-1.51618e-008,-0.0241061
-1.31618e-008,-0.0305058
-1.11618e-008,-0.0305058
-9.16182e-009,-0.0321058
-7.16182e-009,-0.027306
-5.16182e-009,-0.0305058
-3.16182e-009,-0.0337057
-1.16182e-009,-0.0321058
8.38182e-010,-0.0305058
2.83818e-009,-0.0337057
4.83818e-009,-0.0305058
6.83818e-009,-0.0337057
8.83818e-009,-0.0305058
1.08382e-008,-0.0353057
1.28382e-008,-0.0385055
1.48382e-008,-0.0337057
1.68382e-008,-0.0321058
1.88382e-008,-0.0353057
2.08382e-008,-0.0337057
2.28382e-008,-0.0353057
2.48382e-008,-0.0369056
2.68382e-008,-0.0337057
2.88382e-008,-0.0353057
3.08382e-008,-0.0353057
3.28382e-008,-0.0385055
3.48382e-008,-0.0369056
3.68382e-008,-0.0369056
3.88382e-008,-0.0337057
4.08382e-008,-0.0417054
4.28382e-008,-0.0353057
4.48382e-008,-0.0337057
4.68382e-008,-0.0353057
4.88382e-008,-0.0353057
5.08382e-008,-0.0353057
5.28382e-008,-0.0369056
5.48382e-008,-0.0369056
5.68382e-008,-0.0337057
5.88382e-008,-0.0305058
6.08382e-008,-0.0353057
