Water Type,surface,well,drinking,drinking,well,well,well,well,ocean,ocean,ocean,well,well,well,well,well,well,well,tourist swimming,local swimming,drinking,drinking,drinking,wastewater,wastewater,wastewater,wastewater,wastewater
Sample,LLL,LLP,PAW,HZ1,TLMP2,TLMP4,TLMP6,TLMP7,PAB1,PAB2,PAB3,P32A,P34,P35,P40,P48A,P50,P52,GC,ChC,CO,EP,PXD,PXE+CL,PXE-CL,PNI,PNE+CL,PNE-CL
Al27(MR),226.938,248.529,165.519,144.776,109.003,84.985,77.9,85.659,66.666,2.765,2.569,190.56,128.436,135.344,88.903,86.077,120.335,93.755,91.551,57.857,3.882,126.264,4.03,6.154,15.425,143.222,115.136,118.672
As75(MR),0.276,0.303,0.082,0.824,1.605,1.853,2.151,2.425,22.961,26.345,24.111,1.592,1.298,1.133,1.287,1.026,1.191,1.276,3.012,5.923,0.949,0.868,1.501,2.046,2.447,1.28,1.41,1.338
B11(LR),39.881,38.491,64.553,66.258,85.399,103.517,108.751,144.966,1080.071,1152.52,1104.316,103.551,68.963,62.238,60.911,57.064,54.435,57.39,140.532,282.67,54.909,54.805,422.1,427.608,437.2,88.684,83.485,72.613
Ba137(LR),2.261,7.69,1.329,10.306,16.236,19.168,18.36,20.123,2.144,1.789,1.917,12.716,10.11,9.603,9.612,10.164,9.759,9.341,17.427,16.791,8.553,8.314,0.576,4.068,4.397,10.272,10.172,9.668
Be9(LR),0.246,0.226,0.209,0.206,0.192,0.188,0.188,0.188,0.198,0.214,0.206,0.196,0.186,0.182,0.183,0.181,0.181,0.179,0.183,0.182,0.184,0.175,0.176,0.178,0.182,0.178,0.179,0.179
Bi209(LR),0.072370085,0.069873891,0.110112425,0.048177239,0.024341951,0.01955301,0.017617456,0.0216417,0.013034526,0.004070526,0.006718512,0.054034703,0.034373864,0.036717045,0.024544055,0.022914281,0.029077649,0.021742446,0.024035193,0.025511832,0.012420888,1.015791684,0.009723079,1.362591797,3.36940788,0.078431729,0.100943513,0.163845987
Ca44(MR),61666.036,65261.941,938.381,100002.402,109378.822,122644.614,120063.01,133034.333,157848.33,157694.749,154109.712,108545.538,100574.401,101844.007,97875.696,95350.198,84400.537,91088.763,110998.602,113154.62,71922.584,72404.04,7612.172,15369.584,15790.729,78227.084,82676.694,81912.272
Cd111(LR),-0.147,-0.155,-0.076,-0.136,-0.146,-0.117,-0.141,-0.136,-0.167,-0.182,-0.183,-0.115,-0.162,-0.157,-0.167,-0.164,-0.169,-0.17,-0.178,-0.162,-0.174,-0.123,-0.195,-0.149,-0.157,-0.173,-0.171,-0.173
Co59(MR),0.257,0.263,0.24,0.255,0.251,0.242,0.245,0.243,0.232,0.238,0.236,0.308,0.249,0.244,0.239,0.235,0.24,0.236,0.231,0.235,0.242,0.241,0.213,0.24,0.258,0.302,0.314,0.312
Cr52(MR),14.682,16.211,9.196,7.501,5.582,3.86,3.358,3.767,2.41,-2.046,-2.039,12.245,6.829,7.281,4.225,4.133,5.942,4.851,4.272,2.104,-2.002,6.797,-2.095,-1.748,-1.674,7.633,6.036,6.278
Cu63(MR),5.657,6.919,4.663,16.404,2.611,2.656,1.692,2.618,0.815,0.304,0.451,14.816,4.491,3.651,2.342,2.867,2.691,2.226,1.974,1.677,27.097,32.491,1.934,4.917,9.644,3.807,3.24,2.851
Fe56(MR),-4.178,-5.41,-8.574,-9.033,-7.19,-10.119,-4.578,-7.801,-13.017,-13.85,-13.53,-5.707,-9.824,-10.488,-7.936,-10.918,-10.903,-7.653,-11.666,-11.631,-12.786,-9.704,-9.504,5.19,27.555,20.197,5.143,9.191
Ga69(MR),-0.125,-0.125,-0.139,-0.139,-0.144,-0.147,-0.146,-0.147,-0.145,-0.144,-0.144,-0.133,-0.141,-0.143,-0.146,-0.149,-0.144,-0.147,-0.149,-0.15,-0.152,-0.144,-0.158,-0.154,-0.153,-0.142,-0.138,-0.134
K39(HR),1026.844,1344.267,141.964,3076.35,5021.029,5850.821,6742.948,10366.352,177249.317,176123.202,181587.654,3624.753,2898.362,2786.439,3424.87,2841.66,2610.324,2741.551,10416.467,24265.664,3040.508,2799.675,6270.414,17929.178,18203.518,12177.456,9701.497,8814.335
Kr83(HR),0.001693397,0.001587521,0.001731986,0.001758485,0.001837861,0.001767277,0.002000643,0.001900996,0.00147151,0.001882678,0.001577385,0.002004795,0.00154881,0.001679109,0.001711714,0.001516327,0.001605839,0.001422663,0.001646504,0.001803302,0.001434875,0.001375892,0.001506069,0.001538674,0.001611945,0.001485798,0.001432799,0.001479692
Li6(LR),1.037434971,1.007029788,0.955740642,1.070339401,1.193954304,1.299231383,1.329182657,1.454574485,6.416329268,6.794037197,6.241083168,1.124787226,0.981102392,0.947078515,0.964956446,0.900527509,0.862072861,0.88203997,1.224463287,1.640371372,0.852603175,0.828820886,0.916011946,1.050120853,1.028420659,0.932157892,0.905518065,0.873994046
Li7(LR),1.185752193,1.143684835,0.17281133,2.924682132,4.083316166,5.855022435,6.15705042,8.330122714,84.70073503,87.79707608,83.19208469,2.689891898,2.336713125,2.373588434,2.563517029,2.371809556,2.101316336,2.182398005,7.50068758,14.63844351,2.447090666,2.077169772,3.432310355,4.977855911,4.545846574,3.208868822,3.244783436,2.84901037
Mg24(HR),12473.397,11462.353,92.775,19888.154,29699.822,34760.683,38648.933,49721.746,491349.941,507808.764,514830.948,21026.704,19855.042,18877.124,20972.767,19727.788,18849.136,19106.524,43476.003,78085.061,17529.793,16564.949,8587.538,9438.241,9718.114,15667.505,16743.997,14703.191
Mn55(MR),0.208,2.73,-0.178,-0.12,0.427,-0.088,1.336,0.689,-0.282,2.758,-0.098,0.284,-0.184,-0.244,-0.18,-0.243,-0.288,-0.272,-0.281,0.613,0.025,-0.019,-0.32,9.101,9.634,8.625,9.245,8.581
Mo95(LR),0.368545124,0.410310608,0.092640533,0.680102754,2.248654545,2.93599432,2.801535304,3.169909464,3.826878615,3.407447331,3.501176292,1.558734194,0.699863363,0.636147711,0.690900951,0.649337936,0.624585794,0.577166292,2.703796874,2.44668768,0.901038324,0.584449473,0.141639008,0.151876932,0.178158102,0.554349216,0.876077606,0.805388706
Na23(HR),26374.362,25023.246,3363.392,93991.744,189349.08,208479.633,256662.411,364539.77,58609.046,59278.304,57054.85,100188.936,88433.884,86615.319,105780.16,90534.436,83211.237,86287.909,338625.849,98297.77,90998.74,83035.916,184655.821,217404.493,223676.431,141556.267,144859.437,124213.001
Ni60(MR),0.454,0.494,0.396,0.841,0.508,0.624,0.627,0.702,0.235,0.258,0.298,1.789,0.663,0.881,0.816,0.656,0.995,1.045,0.633,0.687,1.115,2.792,0.233,1.39,1.795,2.026,1.512,1.313
P31(MR),6.771,9.212,5.942,7.249,8.007,12.581,10.035,10.711,0.025,-0.17,0.128,28.994,7.935,8.427,8.384,12.677,7.02,6.672,10.265,8.209,4.023,9.222,2.489,3244.038,3518.709,4255.09,1253.17,1243.664
Pb208(LR),16.443,18.015,11.832,9.627,7.144,5.378,4.761,5.166,1.594,-0.44,-0.431,12.962,8.982,9.346,6.161,6.1,8.303,6.865,5.916,3.464,2.382,9.802,-0.248,-0.106,0.312,9.582,8.122,8.343
Rb85(LR),1.186,1.435,0.048,1.684,2.31,2.54,2.629,3.71,36.794,37.121,38.08,2.629,1.574,1.484,1.563,1.425,1.352,1.414,3.798,7.95,1.666,1.462,1.976,12.249,12.244,13.408,10.523,9.903
Re185(LR),0.003205572,0.003714433,0.001017601,0.00269671,0.005037815,0.008398109,0.006056027,0.006820235,0.009008694,0.006769313,0.007429843,0.003968803,0.003510864,0.003154649,0.003154649,0.003052925,0.002798556,0.004630799,0.006819258,0.005902892,0.00320606,0.003358706,0.000712309,0.003103848,0.002747633,0.005750246,0.004375819,0.0055976
S32(MR),3117.104,3838.567,69.269,10195.615,17151.526,23208.295,24676.098,34956.48,382731.568,377340.014,363765.986,10336.17,9363.363,9061.017,10072.026,9433.788,8141.457,8922.515,34650.806,72423.346,10108.068,8201.268,5809.88,8629.379,8878.7,17716.16,21532.517,18627.065
Sb121(LR),0.079653876,0.074202939,0.090299427,0.136189536,0.116019347,0.103539965,0.169549829,0.104661976,0.128600941,0.116477286,0.120704488,0.178514195,0.048330373,0.051283529,0.088567442,0.086936691,0.130381285,0.042115106,0.109245394,0.088568419,1.020118778,0.135528028,0.012370942,0.236527959,0.37318093,0.384028462,0.365641791,0.333197254
Sc45(MR),0.257205667,0.254231751,0.252192397,0.25529014,0.252112655,0.257692914,0.250950834,0.25624827,0.117058929,0.108664605,0.11546982,0.265558959,0.248526811,0.237200458,0.234163407,0.228357232,0.216664039,0.22430368,0.221593537,0.215664389,0.216561461,0.212405086,0.21478881,0.223303541,0.224750262,0.217600677,0.2060688,0.200487687
Se77(HR),1.116,1.103,1.025,1.203,1.531,1.429,1.563,1.531,4.144,4.197,3.509,1.36,1.223,1.253,1.182,1.189,1.171,1.239,1.397,1.456,1.271,1.182,1.062,1.114,1.162,1.413,1.16,1.148
Se78(HR),0.965,0.99,0.901,1.084,1.221,1.255,1.261,1.272,1.52,1.496,1.388,1.166,1.113,1.054,1.168,1.07,1.035,1.089,1.197,1.181,1.074,1.038,0.923,0.968,0.976,1.157,1.037,1.01
Sr88(LR),306.936,316.416,8.476,539.762,1020.494,1223.716,1218.929,1330.028,2465.857,2335.63,2485.318,497.666,478.257,479.02,501.613,474.485,444.547,444.536,1158.432,1214.218,585.269,510.58,81.72,132.545,132.572,615.803,669.64,638.411
Tb159(LR),7.792107626,7.67902727,7.641219842,7.419813632,7.567591463,7.51711647,7.492920938,7.293544638,2.375485278,1.904856557,2.069936293,7.920835324,7.491488139,7.200865883,7.181213225,7.023991597,7.001701212,6.774018066,6.567330987,6.486424435,6.803505296,6.540733901,6.666726056,6.714571503,6.881961448,6.673426251,6.550714891,6.425056482
Te125(LR),0.00437643,0.006106828,0.004884681,0.008295775,0.008907459,0.01384807,0.016293463,0.021386719,0.132980912,0.12157213,0.131453838,0.011505987,0.007889248,0.006056027,0.006564278,0.00722835,0.00636132,0.006971905,0.012931215,0.021029039,0.007277197,0.007583467,0.010231941,0.008296386,0.009569456,0.011097384,0.008450009,0.008703402
Tl205(LR),-0.235,-0.249,-0.329,-0.214,-0.19,-0.215,-0.243,-0.248,-0.358,-0.38,-0.383,-0.295,-0.308,-0.309,-0.311,-0.321,-0.322,-0.323,-0.314,-0.324,-0.32,-0.327,-0.349,-0.353,-0.358,-0.374,-0.348,-0.349
V51(MR),1.328,2.019,0.01,2.692,3.803,4.382,3.95,3.801,0.643,0.582,0.53,2.967,2.602,2.452,2.218,2.457,2.462,2.596,3.673,2.701,2.175,2.014,0.008,0.995,0.846,1.097,1.891,1.945
Y89(LR),5.080417963,5.090374529,5.050849281,4.875790509,5.060431437,5.001351225,5.028143698,4.98164972,2.091689485,1.910516681,1.967398787,5.442209893,4.922911436,4.76700049,4.553344559,4.515952329,4.495330917,4.484120575,4.30876054,4.366831211,4.259197274,4.223848427,4.151774965,4.359634489,4.406608753,4.298584041,4.168439907,4.074255083
Zn66(MR),9.08,30.345,13.787,12.406,5.294,15.714,3.733,23.298,2.262,-0.389,-0.158,24.008,7.392,12.893,7.705,4.101,8.16,5.158,3.724,3.605,44.439,20.803,5.518,44.701,49.396,8.745,13.946,9.255
