Term,AY,Semester,Crn1,Crn2,School,Course1,Course2,Level,Schedule,Enroll
201130,2010-11,Fall,30794,31133,AD,MULT300,SWRK466,Undergraduate,Lecture,12
201130,2010-11,Fall,30203,31145,AD,HIST330,MULT370,Undergraduate,Lecture,25
201130,2010-11,Fall,31146,,AD,HIST340,,Undergraduate,Lecture,14
201130,2010-11,Fall,31148,31149,AD,HIST350,MULT340,Undergraduate,Lecture,30
201130,2010-11,Fall,31150,,AD,HIST375,,Undergraduate,Lecture,12
201130,2010-11,Fall,31156,31157,AD,AMST401,HIST402,Undergraduate,Lecture,13
201130,2010-11,Fall,31154,,AD,HIST461,,Undergraduate,Lecture,7
201130,2010-11,Fall,30206,31161,AD,MULT300,WSTU300,Undergraduate,Lecture,25
201130,2010-11,Fall,30644,,AD,RELG490,,Undergraduate,Seminar,7
201130,2010-11,Fall,31179,31180,AD,SOCI230,WSTU260,Undergraduate,Lecture,24
201130,2010-11,Fall,30666,31224,AD,ENGL215,WSTU215,Undergraduate,Lecture,28
201130,2010-11,Fall,30461,31239,AD,CLSS305,HIST205,Undergraduate,Lecture,34
201130,2010-11,Fall,31251,31259,AD,GLST300,WSTU300,Undergraduate,Lecture,17
201130,2010-11,Fall,31233,31249,AD,ENGL285,WSTU400,Undergraduate,Lecture,12
201130,2010-11,Fall,30352,31250,AD,ENGL490,WSTU300,Undergraduate,Lecture,13
201130,2010-11,Fall,31168,31255,AD,RELG250,WSTU250,Undergraduate,Lecture,5
201130,2010-11,Fall,30498,,AD,CREA231,,Undergraduate,Lecture,33
201130,2010-11,Fall,31256,31373,AD,GLST300,MULT300,Undergraduate,Lecture,7
201130,2010-11,Fall,30785,,AD,RELG400,,Undergraduate,Lecture,12
201130,2010-11,Fall,30634,31258,AD,GLST300,POSC339,Undergraduate,Lecture,20
201130,2010-11,Fall,31260,31261,AD,PCST240,RELG300,Undergraduate,Lecture,25
201130,2010-11,Fall,30411,,AD,ENGL490,,Undergraduate,Seminar,12
201130,2010-11,Fall,31170,31273,AD,MULT300,RELG305,Undergraduate,Lecture,34
201130,2010-11,Fall,31274,31275,AD,ENGL372,MULT360,Undergraduate,Lecture,28
201130,2010-11,Fall,30833,31277,AD,FREN027,GLST300,Undergraduate,Lecture,25
201130,2010-11,Fall,31182,31278,AD,MULT300,SOCI385,Undergraduate,Lecture,9
201130,2010-11,Fall,31247,,AD,SPAN360,,Undergraduate,Lecture,17
201130,2010-11,Fall,30763,31365,AD,MULT180,POSC140,Undergraduate,Lecture,30
201130,2010-11,Fall,30762,,AD,POSC140,,Undergraduate,Lecture,30
201130,2010-11,Fall,30001,,SD,ENVA100,,Undergraduate,Lecture,21
201130,2010-11,Fall,30002,,SD,PHYS110,,Undergraduate,Lecture,25
201130,2010-11,Fall,30003,,SD,PHYS110,,Undergraduate,Lab,25
201130,2010-11,Fall,30004,,SD,PHYS110,,Undergraduate,Lecture,26
201130,2010-11,Fall,30006,,SD,PHYS130,,Undergraduate,Lecture,18
201130,2010-11,Fall,30007,,SD,PHYS130,,Undergraduate,Lab,20
201130,2010-11,Fall,30008,,SD,PHYS132,,Undergraduate,Lecture,20
201130,2010-11,Fall,30009,,SD,BIOL110,,Undergraduate,Lecture,32
201130,2010-11,Fall,30010,,SD,BIOL110,,Undergraduate,Lecture,30
201130,2010-11,Fall,30011,,SD,BIOL110,,Undergraduate,Lecture,33
201130,2010-11,Fall,30012,,SD,BIOL170,,Undergraduate,Lecture,17
201130,2010-11,Fall,30013,,SD,BIOL130,,Undergraduate,Lecture,33
201130,2010-11,Fall,30014,,SD,BIOL130,,Undergraduate,Lab,17
201130,2010-11,Fall,30015,,SD,BIOL220,,Undergraduate,Lecture,32
201130,2010-11,Fall,30016,,AD,PSYC300,,Undergraduate,Lab,8
201130,2010-11,Fall,30017,,SD,BIOL220,,Undergraduate,Lecture,30
201130,2010-11,Fall,30018,,SD,BIOL220,,Undergraduate,Lecture,29
201130,2010-11,Fall,30019,,SD,BIOL220,,Undergraduate,Lab,17
201130,2010-11,Fall,30020,,AD,PSYC300,,Undergraduate,Lab,8
201130,2010-11,Fall,30021,,SD,BIOL220,,Undergraduate,Lab,16
201130,2010-11,Fall,30022,,SD,BIOL220,,Undergraduate,Lab,15
201130,2010-11,Fall,30023,,SD,BIOL220,,Undergraduate,Lab,10
201130,2010-11,Fall,30024,,SD,BIOL220,,Undergraduate,Lab,14
201130,2010-11,Fall,30025,,AD,PSYC300,,Undergraduate,Lab,8
201130,2010-11,Fall,30028,,AD,EDUC210,,Undergraduate,Lecture,24
201130,2010-11,Fall,30029,,AD,EDUC210,,Undergraduate,Lecture,23
201130,2010-11,Fall,30030,,AD,EDUC481,,Undergraduate,Practicum,5
201130,2010-11,Fall,30031,,AD,EDUC481,,Undergraduate,Practicum,1
201130,2010-11,Fall,30032,,AD,EDUC481,,Undergraduate,Practicum,5
201130,2010-11,Fall,30033,,AD,EDUC495,,Undergraduate,Workshop,10
201130,2010-11,Fall,30034,,AD,EDUC496,,Undergraduate,Workshop,10
201130,2010-11,Fall,30035,,AD,HIST101,,Undergraduate,Lecture,29
201130,2010-11,Fall,30037,,AD,HIST101,,Undergraduate,Lecture,31
201130,2010-11,Fall,30039,,AD,FREN101,,Undergraduate,Lecture/Lab,16
201130,2010-11,Fall,30040,,AD,FREN101,,Undergraduate,Lecture/Lab,14
201130,2010-11,Fall,30041,,AD,GERM101,,Undergraduate,Lecture/Lab,13
201130,2010-11,Fall,30042,,AD,SPAN101,,Undergraduate,Lecture/Lab,21
201130,2010-11,Fall,30043,,AD,SPAN101,,Undergraduate,Lecture/Lab,20
201130,2010-11,Fall,30044,,AD,SPAN301,,Undergraduate,Lecture,10
201130,2010-11,Fall,30045,,AD,SPAN301,,Undergraduate,Lecture,15
201130,2010-11,Fall,30046,,IN,FOUN100,,Undergraduate,Lecture,16
201130,2010-11,Fall,30047,,IN,FOUN100,,Undergraduate,Lecture,16
201130,2010-11,Fall,30048,,IN,FOUN100,,Undergraduate,Lecture,17
201130,2010-11,Fall,30049,,IN,FOUN100,,Undergraduate,Lecture,15
201130,2010-11,Fall,30050,,IN,FOUN100,,Undergraduate,Lecture,19
201130,2010-11,Fall,30051,,IN,FOUN100,,Undergraduate,Lecture,20
201130,2010-11,Fall,30052,,IN,FOUN100,,Undergraduate,Lecture,18
201130,2010-11,Fall,30053,,IN,FOUN100,,Undergraduate,Lecture,18
201130,2010-11,Fall,30054,,IN,FOUN100,,Undergraduate,Lecture,19
201130,2010-11,Fall,30055,,AD,ENGL011,,Undergraduate,Lecture,19
201130,2010-11,Fall,30056,,AD,ENGL011,,Undergraduate,Lecture,20
201130,2010-11,Fall,30057,,AD,ENGL011,,Undergraduate,Lecture,19
201130,2010-11,Fall,30059,,AD,PSYC100,,Undergraduate,Lecture,31
201130,2010-11,Fall,30060,,AD,PHIL101,,Undergraduate,Lecture,30
201130,2010-11,Fall,30061,,AD,PHIL101,,Undergraduate,Lecture,29
201130,2010-11,Fall,30062,,AD,POSC100,,Undergraduate,Lecture,9
201130,2010-11,Fall,30064,,AD,SWRK100,,Undergraduate,Lecture,29
201130,2010-11,Fall,30065,,AD,SWRK300,,Undergraduate,Lecture,23
201130,2010-11,Fall,30066,,SD,BIOL440,,Undergraduate,Lecture,30
201130,2010-11,Fall,30067,,SD,BIOL440,,Undergraduate,Lab,15
201130,2010-11,Fall,30068,,SD,BIOL440,,Undergraduate,Lab,14
201130,2010-11,Fall,30069,,SD,MATH010,,Undergraduate,Lecture,36
201130,2010-11,Fall,30071,,SD,MATH110,,Undergraduate,Lecture,28
