
Un  173 exp3_grain2_KF
ELEM:        S      Au      Cu      Fe   SUM  
  3972  33.604    .061  30.016  34.548  98.229
  3973  33.878    .029  30.028  34.253  98.189
  3974  32.538    .157  29.763  33.296  95.755
  3975  33.805    .017  30.104  34.081  98.007
  3976  32.806    .016  30.084  33.900  96.806
  3977  34.034    .102  30.089  34.086  98.312
  3978  33.827    .009  30.296  34.041  98.173
  3979  33.893    .016  30.240  34.127  98.276
  3980  33.593    .061  30.141  33.954  97.748
  3981  33.463    .058  30.142  33.982  97.645
  3982  33.665    .047  30.194  33.676  97.583
  3983  33.449    .058  30.080  33.628  97.215
  3984  32.842    .040  30.215  33.423  96.520
  3985  33.797    .100  30.205  34.240  98.342
  3986  33.750    .021  30.254  34.086  98.111
  3987  33.760    .026  30.099  33.811  97.697
  3988  33.839    .034  30.081  33.805  97.758
  3989  33.881    .026  30.222  33.653  97.782
  3990  33.422    .040  30.270  33.398  97.130
  3991  33.626    .045  30.095  33.559  97.326
  3992  33.915    .039  30.180  33.575  97.709
  3993  33.708    .029  30.093  33.499  97.329
  3994  33.046    .035  30.156  33.340  96.577
  3995  33.884    .078  30.109  33.336  97.407
  3996  33.980    .092  29.900  33.285  97.256
  3997  33.853    .080  30.187  33.405  97.525
  3998  33.869    .099  30.136  33.244  97.348
  3999  34.018    .000  30.015  33.466  97.499
  4000  33.081    .067  29.774  32.918  95.840
  4001  34.096    .010  29.993  33.420  97.519
  4002  33.147    .087  29.501  32.700  95.435
  4003  33.998    .108  29.895  33.278  97.278
  4004  33.832    .067  29.873  33.111  96.883
  4005  34.174    .033  30.039  33.180  97.426
  4006  33.736    .131  29.845  33.311  97.023
  4007  33.638    .147  29.907  33.242  96.933
  4008  34.228    .034  30.170  33.325  97.758
  4009  31.434    .022  28.469  32.931  92.856
  4010  33.913    .069  30.095  33.421  97.498
  4011  33.968    .017  30.128  33.549  97.663
  4012  33.532    .041  30.165  33.569  97.307
  4013  32.843    .033  30.153  33.188  96.217
  4014  33.602    .007  30.215  33.512  97.335
  4015  33.396    .050  30.285  33.517  97.248
  4016  33.805    .067  30.260  33.594  97.726
  4017  33.769    .102  30.078  33.497  97.446
  4018  33.933    .015  30.184  33.753  97.885
  4019  34.110    .105  30.072  33.788  98.074
  4020  34.141    .030  30.050  33.604  97.825
  4021  34.210    .022  30.142  33.596  97.971 
  4022  34.039    .053  30.109  33.721  97.922
  4023  33.994    .078  30.158  33.300  97.530
  4024  34.049    .046  30.252  33.606  97.953
  4025  31.477    .046  29.753  32.826  94.102
  4026  32.901    .076  29.977  32.931  95.886
  4027  33.813    .058  30.154  33.215  97.240
  4028  33.737    .063  30.068  33.218  97.085
  4029  32.433    .138  29.571  32.633  94.776
  4030  33.882    .097  30.158  33.355  97.493
  4031  33.813    .139  30.125  33.150  97.226
  4032  33.871    .064  30.122  33.103  97.160
  4033  33.842    .026  30.054  33.292  97.214
  4034  34.056    .066  29.946  33.040  97.109
  4035  33.928    .087  30.008  32.979  97.001
  4036  33.926    .097  30.122  32.948  97.093
  4037  33.823    .124  29.893  33.121  96.961
  4038  33.872    .000  30.036  33.070  96.977
  4039  33.744    .017  30.171  33.167  97.100
  4040  33.610    .087  30.270  33.029  96.995
  4041  33.912    .075  30.212  33.302  97.501
  4042  33.921    .115  30.138  33.450  97.624
  4043  33.834    .072  29.990  33.481  97.378
  4044  33.774    .032  30.238  33.505  97.548
  4045  34.005    .012  30.208  33.511  97.736
  4046  33.828    .107  30.200  33.698  97.833
  4047  33.956    .094  30.336  33.820  98.205
  4048  33.965    .108  30.066  33.716  97.855
  4049  33.793    .003  30.254  33.556  97.606
  4050  33.852    .095  30.241  33.735  97.923
  4051  33.916    .096  30.160  33.729  97.901
  4052  33.906    .028  30.154  33.595  97.684
  4053  33.908    .070  30.089  33.631  97.699
  4054  33.806    .005  30.269  33.465  97.546
  4055  33.436    .063  30.043  33.364  96.905
