
ELEM:        S      Cu      Fe      Au   SUM  
   133  26.542  59.940  13.840    .043 100.364
   134  26.620  59.856  14.076    .044 100.596
   135  26.648  59.253  14.159    .069 100.130
   136  26.458  58.213  14.176    .031  98.879
   137  26.019  58.311  14.073    .322  98.725
   138  26.370  59.018  14.051    .079  99.518
   139  26.448  58.545  14.007    .086  99.087
   140  26.566  59.912  13.870    .119 100.468
   141  27.181  59.413  14.158    .175 100.927
   142  34.114  74.959  16.672    .292 126.035

