File,1st digitized,R start adj,R end adj
1_01_xyzpts_ja.txt,400,555,623
1_01_xyzpts_ja.txt,400,623,694
1_02_xyzpts_ja.txt,430,485,553
1_02_xyzpts_ja.txt,430,553,623
1_02_xyzpts_ja.txt,430,623,696
1_03_xyzpts_ja.txt,430,461,537
1_03_xyzpts_ja.txt,430,537,604
1_03_xyzpts_ja.txt,430,604,678
2_01_xyzpts_ja.txt,405,513,592
2_01_xyzpts_ja.txt,405,592,670
2_02_xyzpts_ja.txt,350,503,580
2_02_xyzpts_ja.txt,350,580,655
2_02_xyzpts_ja.txt,350,655,732
2_03_xyzpts_ja.txt,416,422,501
2_03_xyzpts_ja.txt,416,501,577
2_03_xyzpts_ja.txt,416,577,656
3_01_xyzpts_ja.txt,490,394,467
3_01_xyzpts_ja.txt,490,467,546
3_02_xyzpts_ja.txt,450,378,450
3_02_xyzpts_ja.txt,450,450,523
3_02_xyzpts_ja.txt,450,523,603
4_01_xyzpts_ja.txt,147,407,486
4_01_xyzpts_ja.txt,147,486,564
4_02_xyzpts_ja.txt,144,402,481
4_02_xyzpts_ja.txt,144,481,566
4_03_xyzpts_ja.txt,123,450,528
4_03_xyzpts_ja.txt,123,528,611
5_01_xyzpts_ja.txt,110,430,516
5_01_xyzpts_ja.txt,110,516,596
5_02_xyzpts_ja.txt,111,418,499
5_02_xyzpts_ja.txt,111,499,590
5_03_xyzpts_ja.txt,60,429,511
5_03_xyzpts_ja.txt,60,511,600
5_03_xyzpts_ja.txt,60,600,686
6_01_xyzpts_ja.txt,100,355,436
6_01_xyzpts_ja.txt,100,436,519
6_01_xyzpts_ja.txt,100,519,605
6_02_xyzpts_ja.txt,50,385,470
6_02_xyzpts_ja.txt,50,470,552
6_02_xyzpts_ja.txt,50,552,634
6_03_xyzpts_ja.txt,50,360,443
6_03_xyzpts_ja.txt,50,443,524
6_03_xyzpts_ja.txt,50,524,610
7_01_xyzpts_ja.txt,50,464,541
7_01_xyzpts_ja.txt,50,541,621
7_02_xyzpts_ja.txt,150,396,467
7_02_xyzpts_ja.txt,150,467,545
7_02_xyzpts_ja.txt,150,545,624
7_03_xyzpts_ja.txt,150,395,472
7_03_xyzpts_ja.txt,150,472,552
8_01_xyzpts_ja.txt,1,561,632
8_01_xyzpts_ja.txt,1,632,710
8_02_xyzpts_ja.txt,150,395,464
8_02_xyzpts_ja.txt,150,464,538
8_03_xyzpts_ja.txt,150,402,478
8_03_xyzpts_ja.txt,150,478,554
9_01_xyzpts_ja.txt,125,397,475
9_01_xyzpts_ja.txt,125,475,555
9_01_xyzpts_ja.txt,125,555,639
9_02_xyzpts_ja.txt,100,385,463
9_02_xyzpts_ja.txt,100,463,540
9_02_xyzpts_ja.txt,100,540,621
9_03_xyzpts_ja.txt,179,373,453
9_03_xyzpts_ja.txt,179,453,533
