File,1st digitized,R start adj,R end adj
1_01_xyzpts_ja2.txt,400,172,253
1_01_xyzpts_ja2.txt,400,253,327
1_01_xyzpts_ja2.txt,400,327,403
1_01_xyzpts_ja2.txt,400,403,479
1_01_xyzpts_ja2.txt,400,769,846
1_02_xyzpts_ja2.txt,430,113,191
1_02_xyzpts_ja2.txt,430,191,264
1_02_xyzpts_ja2.txt,430,264,337
1_02_xyzpts_ja2.txt,430,337,412
1_02_xyzpts_ja2.txt,430,770,845
1_02_xyzpts_ja2.txt,430,845,926
1_03_xyzpts_ja2.txt,430,99,175
1_03_xyzpts_ja2.txt,430,175,245
1_03_xyzpts_ja2.txt,430,245,319
1_03_xyzpts_ja2.txt,430,319,391
1_03_xyzpts_ja2.txt,430,748,825
1_03_xyzpts_ja2.txt,430,825,903
2_01_xyzpts_ja2.txt,405,189,269
2_01_xyzpts_ja2.txt,405,269,349
2_01_xyzpts_ja2.txt,405,349,427
2_01_xyzpts_ja2.txt,405,752,833
2_01_xyzpts_ja2.txt,405,833,921
2_02_xyzpts_ja2.txt,350,181,264
2_02_xyzpts_ja2.txt,350,264,344
2_02_xyzpts_ja2.txt,350,344,422
2_02_xyzpts_ja2.txt,350,814,892
2_02_xyzpts_ja2.txt,350,892,978
2_03_xyzpts_ja2.txt,416,99,184
2_03_xyzpts_ja2.txt,416,184,261
2_03_xyzpts_ja2.txt,416,261,340
2_03_xyzpts_ja2.txt,416,736,815
2_03_xyzpts_ja2.txt,416,815,902
3_01_xyzpts_ja2.txt,490,79,164
3_01_xyzpts_ja2.txt,490,164,240
3_01_xyzpts_ja2.txt,490,240,312
3_01_xyzpts_ja2.txt,490,621,699
3_01_xyzpts_ja2.txt,490,699,774
3_02_xyzpts_ja2.txt,450,55,148
3_02_xyzpts_ja2.txt,450,148,228
3_02_xyzpts_ja2.txt,450,228,303
3_02_xyzpts_ja2.txt,450,680,757
4_01_xyzpts_ja2.txt,147,163,247
4_01_xyzpts_ja2.txt,147,247,329
4_01_xyzpts_ja2.txt,147,653,730
4_01_xyzpts_ja2.txt,147,730,811
4_02_xyzpts_ja2.txt,144,159,242
4_02_xyzpts_ja2.txt,144,242,323
4_02_xyzpts_ja2.txt,144,647,727
4_02_xyzpts_ja2.txt,144,727,809
4_03_xyzpts_ja2.txt,123,104,201
4_03_xyzpts_ja2.txt,123,201,285
4_03_xyzpts_ja2.txt,123,285,367
4_03_xyzpts_ja2.txt,123,690,771
4_03_xyzpts_ja2.txt,123,771,856
5_01_xyzpts_ja2.txt,110,174,261
5_01_xyzpts_ja2.txt,110,261,345
5_01_xyzpts_ja2.txt,110,683,766
5_01_xyzpts_ja2.txt,110,766,850
5_02_xyzpts_ja2.txt,111,158,239
5_02_xyzpts_ja2.txt,111,239,328
5_02_xyzpts_ja2.txt,111,677,763
5_03_xyzpts_ja2.txt,60,172,255
5_03_xyzpts_ja2.txt,60,255,341
5_03_xyzpts_ja2.txt,60,768,853
5_03_xyzpts_ja2.txt,60,853,942
6_01_xyzpts_ja2.txt,100,182,269
6_01_xyzpts_ja2.txt,100,684,768
6_01_xyzpts_ja2.txt,100,768,849
6_02_xyzpts_ja2.txt,50,212,300
6_02_xyzpts_ja2.txt,50,718,801
6_02_xyzpts_ja2.txt,50,801,888
6_03_xyzpts_ja2.txt,50,187,275
6_03_xyzpts_ja2.txt,50,698,778
6_03_xyzpts_ja2.txt,50,778,863
7_01_xyzpts_ja2.txt,50,232,313
7_01_xyzpts_ja2.txt,50,313,390
7_01_xyzpts_ja2.txt,50,700,778
7_01_xyzpts_ja2.txt,50,778,853
7_01_xyzpts_ja2.txt,50,853,931
7_02_xyzpts_ja2.txt,150,173,253
7_02_xyzpts_ja2.txt,150,253,326
7_02_xyzpts_ja2.txt,150,704,781
7_02_xyzpts_ja2.txt,150,781,859
7_03_xyzpts_ja2.txt,150,243,318
7_03_xyzpts_ja2.txt,150,629,707
8_01_xyzpts_ja2.txt,1,335,416
8_01_xyzpts_ja2.txt,1,416,490
8_01_xyzpts_ja2.txt,1,789,869
8_01_xyzpts_ja2.txt,1,869,952
8_02_xyzpts_ja2.txt,150,162,243
8_02_xyzpts_ja2.txt,150,243,320
8_02_xyzpts_ja2.txt,150,697,781
8_03_xyzpts_ja2.txt,150,151,244
8_03_xyzpts_ja2.txt,150,244,327
8_03_xyzpts_ja2.txt,150,717,801
9_01_xyzpts_ja2.txt,125,160,242
9_01_xyzpts_ja2.txt,125,242,321
9_01_xyzpts_ja2.txt,125,719,805
9_02_xyzpts_ja2.txt,100,148,229
9_02_xyzpts_ja2.txt,100,229,308
9_02_xyzpts_ja2.txt,100,701,783
9_03_xyzpts_ja2.txt,179,131,211
9_03_xyzpts_ja2.txt,179,211,292
9_03_xyzpts_ja2.txt,179,615,697
9_03_xyzpts_ja2.txt,179,697,779
