DataSet/Point,Fe,Ni,Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,,
1 / 1 . ,0.914347,99.08566,100,-12364,-2259,-29,,,FND_1_profile (Line)  Pt 1,,27.60849,1,1/21/13 13:01,0,
2 / 1 . ,0.914306,99.08569,99.99999,-12364,-2244,-29,,,FND_1_profile (Line)  Pt 2,,27.81838,2,1/21/13 13:02,15,
3 / 1 . ,0.919502,99.08051,100,-12364,-2229,-29,,,FND_1_profile (Line)  Pt 3,,27.77331,3,1/21/13 13:04,30,
4 / 1 . ,0.909821,99.09018,100,-12364,-2214,-29,,,FND_1_profile (Line)  Pt 4,,27.75657,4,1/21/13 13:05,45,
5 / 1 . ,0.926792,99.0732,100,-12364,-2199,-29,,,FND_1_profile (Line)  Pt 5,,27.82175,5,1/21/13 13:06,60,
6 / 1 . ,0.932128,99.06787,100,-12364,-2184,-29,,,FND_1_profile (Line)  Pt 6,,27.7832,6,1/21/13 13:07,75,
7 / 1 . ,0.959748,99.04025,100,-12364,-2169,-28,,,FND_1_profile (Line)  Pt 7,,27.7967,7,1/21/13 13:08,90,
8 / 1 . ,0.911837,99.08817,100,-12364,-2154,-28,,,FND_1_profile (Line)  Pt 8,,27.79899,8,1/21/13 13:09,105,
9 / 1 . ,0.936659,99.06334,100,-12364,-2139,-28,,,FND_1_profile (Line)  Pt 9,,27.78198,9,1/21/13 13:11,120,
10 / 1 . ,0.939991,99.06001,99.99999,-12364,-2124,-28,,,FND_1_profile (Line)  Pt 10,,27.74071,10,1/21/13 13:12,135,
11 / 1 . ,0.94689,99.05311,100,-12364,-2109,-28,,,FND_1_profile (Line)  Pt 11,,27.79596,11,1/21/13 13:13,150,
12 / 1 . ,0.952428,99.04758,100,-12364,-2094,-28,,,FND_1_profile (Line)  Pt 12,,27.79994,12,1/21/13 13:14,165,
13 / 1 . ,0.923678,99.07632,100,-12364,-2079,-28,,,FND_1_profile (Line)  Pt 13,,27.74857,13,1/21/13 13:16,180,
14 / 1 . ,0.9446,99.0554,100,-12364,-2064,-28,,,FND_1_profile (Line)  Pt 14,,27.72739,14,1/21/13 13:17,195,
15 / 1 . ,0.943799,99.05621,100,-12364,-2049,-28,,,FND_1_profile (Line)  Pt 15,,27.7493,15,1/21/13 13:18,210,
16 / 1 . ,0.901606,99.0984,100,-12364,-2034,-28,,,FND_1_profile (Line)  Pt 16,,27.84681,16,1/21/13 13:19,225,
17 / 1 . ,0.9584,99.0416,100,-12364,-2019,-28,,,FND_1_profile (Line)  Pt 17,,27.80988,17,1/21/13 13:20,240,
18 / 1 . ,0.951674,99.04832,100,-12364,-2004,-28,,,FND_1_profile (Line)  Pt 18,,27.90915,18,1/21/13 13:22,255,
19 / 1 . ,1.001042,98.99895,100,-12364,-1989,-27,,,FND_1_profile (Line)  Pt 19,,27.82072,19,1/21/13 13:23,270,
20 / 1 . ,0.967636,99.03236,100,-12364,-1974,-27,,,FND_1_profile (Line)  Pt 20,,27.85204,20,1/21/13 13:24,285,
21 / 1 . ,1.027418,98.97258,99.99999,-12364,-1959,-27,,,FND_1_profile (Line)  Pt 21,,27.64606,21,1/21/13 13:25,300,
