DataSet/Point,Fe,Ni,Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date
1 / 1 . ,0.858513,97.80457,98.66308,-12364,-2259,-29,,,FND_1_profile (Line)  Pt 1,,27.60849,1,1/21/13 13:01
2 / 1 . ,0.865002,98.54815,99.41315,-12364,-2244,-29,,,FND_1_profile (Line)  Pt 2,,27.81838,2,1/21/13 13:02
3 / 1 . ,0.868513,98.38391,99.25242,-12364,-2229,-29,,,FND_1_profile (Line)  Pt 3,,27.77331,3,1/21/13 13:04
4 / 1 . ,0.858842,98.33313,99.19197,-12364,-2214,-29,,,FND_1_profile (Line)  Pt 4,,27.75657,4,1/21/13 13:05
5 / 1 . ,0.876933,98.5491,99.42603,-12364,-2199,-29,,,FND_1_profile (Line)  Pt 5,,27.82175,5,1/21/13 13:06
6 / 1 . ,0.880766,98.40784,99.28861,-12364,-2184,-29,,,FND_1_profile (Line)  Pt 6,,27.7832,6,1/21/13 13:07
7 / 1 . ,0.907334,98.43139,99.33872,-12364,-2169,-28,,,FND_1_profile (Line)  Pt 7,,27.7967,7,1/21/13 13:08
8 / 1 . ,0.862062,98.48163,99.3437,-12364,-2154,-28,,,FND_1_profile (Line)  Pt 8,,27.79899,8,1/21/13 13:09
9 / 1 . ,0.885013,98.39956,99.28457,-12364,-2139,-28,,,FND_1_profile (Line)  Pt 9,,27.78198,9,1/21/13 13:11
10 / 1 . ,0.886845,98.25047,99.13732,-12364,-2124,-28,,,FND_1_profile (Line)  Pt 10,,27.74071,10,1/21/13 13:12
11 / 1 . ,0.895141,98.44009,99.33524,-12364,-2109,-28,,,FND_1_profile (Line)  Pt 11,,27.79596,11,1/21/13 13:13
12 / 1 . ,0.90051,98.44931,99.34982,-12364,-2094,-28,,,FND_1_profile (Line)  Pt 12,,27.79994,12,1/21/13 13:14
13 / 1 . ,0.871685,98.29261,99.16429,-12364,-2079,-28,,,FND_1_profile (Line)  Pt 13,,27.74857,13,1/21/13 13:16
14 / 1 . ,0.890771,98.19926,99.09004,-12364,-2064,-28,,,FND_1_profile (Line)  Pt 14,,27.72739,14,1/21/13 13:17
