#FNDA-1,Fe atomic,Ni Atomic,Del Fe /amu,sigma,del Ni /amu,sigma,
-800,99.22933,0.770671,1.02,± 0.35,-14.29076646,6.987229861,
-650,99.24299,0.757013,0.15,± 0.35,-9.41053978,7.036196491,
-500,99.2416,0.758407,0.42,± 0.35,-18.78304089,6.998805782,
-425,99.23149,0.768515,0.19,± 0.35,-8.415014569,7.186109412,
-350,99.22675,0.773243,0.57,± 0.34,-15.69863602,6.964567793,
-275,99.25453,0.745469,0.53,± 0.34,-8.569431945,6.938240053,
-200,99.20901,0.790992,-0.14,± 0.34,-17.34885044,6.837546158,
-125,99.19761,0.802391,0.61,± 0.34,-16.10723801,6.837546158,
-50,99.19729,0.802715,0.77,± 0.34,-8.250529924,6.856288338,
25,98.69484,1.305165,1.30,± 0.33,-22.71666429,5.992694043,
100,89.694,10.306,1.41,± 0.35,-24.86795947,2.565241565,
175,67.69268,32.30733,2.60,± 0.33,-17.48539558,0.977440327,
225,57.74124,42.25876,1.03,± 0.39,-16.20106241,0.876438203,
300,45.26946,54.73054,-0.32,± 0.45,-14.78284297,0.79321553,
375,36.36043,63.63958,-1.71,± 0.52,-13.48703389,0.757551829,
450,28.85868,71.14132,-1.76,± 0.63,-13.33537009,0.763932704,
525,22.65344,77.34657,-1.74,± 0.75,-13.88213322,0.795315815,
600,17.1705,82.8295,-6.60,± 0.97,-15.71536753,0.857873026,
675,12.54612,87.45388,-7.29,± 1.12,-15.43215925,0.833527935,
750,8.346512,91.65348,-6.90,± 1.44,-16.05747544,0.880124503,
825,5.361951,94.63805,-13.82,± 1.90,-16.77244672,0.912364608,
900,3.286207,96.71379,-8.95,± 2.62,-14.5942379,0.986007959,
975,2.031355,97.96865,-14.09,± 3.40,-13.2952301,1.005189055,
1050,1.449413,98.55059,-10.10,± 4.28,-12.21786852,1.019554617,
1125,1.13534,98.86466,-1.49,± 4.98,-15.58661403,1.021163082,
1200,0.967636,99.03236,-8.64,± 5.56,-13.6219693,1.060456377,
1275,0.943799,99.05621,11.33,± 2.87,-15.2299148,1.011197321,
1350,0.939991,99.06001,11.47,± 5.48,-13.22412905,1.023623719,
1425,0.926792,99.0732,9.73,± 5.81,-13.03111939,1.071375638,
