#Fe weight%,Ni weight%,Total,X,Y,Z
0.858513,97.80457,98.66308,-12364,-2259,-29
0.865002,98.54815,99.41315,-12364,-2244,-29
0.868513,98.38391,99.25242,-12364,-2229,-29
0.858842,98.33313,99.19197,-12364,-2214,-29
0.876933,98.5491,99.42603,-12364,-2199,-29
0.880766,98.40784,99.28861,-12364,-2184,-29
0.907334,98.43139,99.33872,-12364,-2169,-28
0.862062,98.48163,99.3437,-12364,-2154,-28
0.885013,98.39956,99.28457,-12364,-2139,-28
0.886845,98.25047,99.13732,-12364,-2124,-28
0.895141,98.44009,99.33524,-12364,-2109,-28
0.90051,98.44931,99.34982,-12364,-2094,-28
0.871685,98.29261,99.16429,-12364,-2079,-28
0.890771,98.19926,99.09004,-12364,-2064,-28
0.890718,98.27754,99.16827,-12364,-2049,-28
0.853846,98.66003,99.51389,-12364,-2034,-28
0.906488,98.47926,99.38574,-12364,-2019,-28
0.903331,98.83672,99.74004,-12364,-2004,-28
0.947236,98.48016,99.42739,-12364,-1989,-27
0.91662,98.62043,99.53705,-12364,-1974,-27
0.966121,97.83882,98.80494,-12364,-1959,-27
0.976705,98.12788,99.10458,-12364,-1944,-27
0.997302,98.25226,99.24957,-12364,-1929,-27
0.987421,97.95515,98.94258,-12364,-1914,-27
1.074414,98.35551,99.42993,-12364,-1899,-27
1.098898,98.27511,99.37401,-12364,-1884,-27
1.150214,97.5097,98.65992,-12364,-1869,-27
1.226557,98.19643,99.42299,-12364,-1854,-27
1.286969,98.41927,99.70625,-12364,-1839,-27
1.367201,97.72632,99.09351,-12364,-1824,-26
1.436522,97.92262,99.35915,-12364,-1809,-26
1.529071,97.89003,99.41911,-12364,-1794,-26
1.678872,97.49685,99.17572,-12364,-1779,-26
1.784612,97.72552,99.51012,-12364,-1764,-26
1.922602,97.47717,99.39977,-12364,-1749,-26
2.133288,97.67516,99.80845,-12364,-1734,-26
2.353022,96.83996,99.19299,-12364,-1719,-26
2.588953,96.8647,99.45365,-12364,-1704,-26
2.830517,96.86857,99.69909,-12364,-1689,-26
3.105607,96.08426,99.18987,-12364,-1674,-26
3.477761,96.14537,99.62313,-12364,-1659,-26
3.834793,95.8112,99.646,-12364,-1644,-25
4.203782,95.51398,99.71777,-12364,-1629,-25
4.574216,95.21839,99.7926,-12364,-1614,-25
5.083617,94.32525,99.40887,-12364,-1599,-25
5.73397,93.83987,99.57384,-12364,-1584,-25
6.191082,93.49892,99.69,-12364,-1569,-25
6.781537,92.82196,99.6035,-12364,-1554,-25
7.421857,92.0694,99.49125,-12364,-1539,-25
7.932042,91.56746,99.4995,-12364,-1524,-25
8.787154,90.78,99.56715,-12364,-1509,-25
9.384916,90.33442,99.71934,-12364,-1494,-25
10.18403,89.51441,99.69844,-12364,-1479,-25
11.07576,88.5745,99.65026,-12364,-1464,-24
11.94758,87.55112,99.4987,-12364,-1449,-24
12.7809,87.21964,100.0005,-12364,-1434,-24
13.61657,85.99282,99.60939,-12364,-1419,-24
