Electron Microprobe Data,, 96 hours,1400 C,,,,,Isotope Data,,,,,,,
,Fe,Ni,Total,x,y,z,,,,,,,,,
FNDA_2_profile (Line)  Pt 1,,,,,,,,,,,,,,,
1.62,0.964954,98.61167,99.57662,13478,1503,-104, ,FNDA-2,Fe A %,Ni A %,del Fe  ä/amu,error,,del Ni ä/amu-2,error
1.605,1.000879,98.96952,99.9704,13478,1488,-104, ,-0.6,99.15749,0.84251,-0.138301932,0.368004829,,9.85,± 7.87
1.59,0.981018,98.5803,99.56133,13478,1473,-104, ,-0.57,98.99599,1.00401,0.94607122,0.37221263,,6.97,± 7.85
1.575,1.018037,98.03034,99.04838,13478,1458,-104, ,-0.55,98.29343,1.70657,0.41487495,0.375763191,,5.60,± 7.70
1.56,1.019023,99.19567,100.2147,13478,1443,-104, ,-0.495,95.80383,4.19617,0.423660564,0.380125958,,-6.00,± 6.57
1.545,0.978667,98.65685,99.63552,13478,1428,-104, ,-0.435,88.0157,11.9843,3.456583619,0.390858786,,-6.29,± 4.74
1.53,1.018937,98.33601,99.35495,13478,1413,-104, ,0.36,77.83152,22.16848,3.366566407,0.402274636,,-10.54,± 2.92
1.515,1.049779,98.82367,99.87344,13478,1398,-103, ,-0.285,67.40679,32.59321,2.065312227,0.40216411,,-6.06,± 1.80
1.5,1.034401,98.53194,99.56634,13478,1383,-103, ,-0.2,57.11895,42.88105,1.850807907,0.373704613,,-2.55,± 1.14
1.485,1.073749,99.17666,100.2504,13478,1368,-103, ,-0.13,50.29505,49.70495,1.071099683,0.385246452,,-1.74,± 0.97
1.47,1.123753,99.40735,100.5311,13478,1353,-103, ,-0.06,44.47831,55.52169,-0.331544166,0.4458624,,-1.80,± 0.94
1.455,1.094541,98.9213,100.0158,13478,1338,-103, ,0.03,38.46492,61.53508,0.237756996,0.501691798,,-0.04,± 0.93
1.44,1.13841,98.87281,100.0112,13478,1323,-103, ,0.1,34.38332,65.61668,-0.152737616,0.561943905,,0.97,± 0.92
1.425,1.127015,99.13818,100.2652,13478,1308,-103, ,0.17,30.36022,69.63978,0.013009037,0.618402086,,-0.32,± 0.92
1.41,1.18846,98.89515,100.0836,13478,1293,-103, ,0.26,25.89203,74.10797,-0.787607574,0.680495581,,0.06,± 0.92
1.395,1.205877,98.79764,100.0035,13478,1278,-103, ,0.345,22.62446,77.37554,-4.050368892,0.762762013,,0.00,± 0.94
1.38,1.236998,98.5742,99.8112,13478,1263,-103, ,0.41,19.50855,80.49145,-1.896474103,0.847315907,,0.84,± 0.96
1.365,1.296812,98.80169,100.0985,13478,1248,-103, ,0.51,15.9798,84.0202,-4.025510928,1.000639293,,0.05,± 1.03
1.35,1.287624,98.92453,100.2122,13478,1233,-103, ,0.585,13.41642,86.58358,-8.041631727,1.141624235,,-0.19,± 1.07
1.335,1.334589,98.75623,100.0908,13478,1218,-102, ,0.66,11.04719,88.95281,-4.794292748,1.282005853,,-1.28,± 1.10
1.32,1.410661,98.85909,100.2697,13478,1203,-102, ,0.75,8.680425,91.319575,-5.229868683,1.477653337,,-0.60,± 1.14
1.305,1.455693,98.43433,99.89003,13478,1188,-102, ,0.825,6.834451,93.165549,-6.63411905,1.691316338,,0.65,± 1.17
1.29,1.500255,98.64084,100.1411,13478,1173,-102, ,0.9,5.327541,94.672459,-7.871364174,1.996737384,,1.02,± 1.20
1.275,1.563325,98.78828,100.3516,13478,1158,-102, ,0.99,3.891638,96.108362,-11.48893383,2.316732069,,0.89,± 1.22
1.26,1.641181,98.86236,100.5035,13478,1143,-102, ,1.065,3.003166,96.996834,-12.12447673,2.7045293,,-0.74,± 1.23
1.245,1.738411,98.67947,100.4179,13478,1128,-102, ,1.15,2.288289,97.711711,-16.92241853,3.19900653,,-2.24,± 1.25
1.23,1.751532,98.61086,100.3624,13478,1113,-102, ,1.215,1.818311,98.181689,-9.107658432,3.723776172,,0.08,± 1.28
1.215,1.855273,98.40871,100.264,13478,1098,-102, ,1.305,1.477923,98.522077,-7.947630107,4.294083482,,-0.72,± 1.28
1.2,1.907095,97.99567,99.90276,13478,1083,-102, ,1.365,1.266868,98.733132,-7.712517397,4.881288983,,2.25,± 1.29
1.185,2.008037,98.28139,100.2894,13478,1068,-102, ,1.455,1.091585,98.908415,-10.08460308,5.171726166,,0.60,± 1.27,,,
1.17,2.073761,98.13464,100.2084,13478,1053,-102, ,1.485,1.068411,98.931589,-12.57077504,4.796009144,,-3.50,± 1.08,,,
1.155,2.192372,98.4152,100.6076,13478,1038,-102, ,1.5,1.035331,98.964669,-12.33111055,4.509774279,,-0.29,± 1.05,,,
1.14,2.368528,97.89984,100.2684,13478,1023,-101, ,,,,,,,,,,,
1.125,2.484931,97.94184,100.4268,13478,1008,-101, ,,,,,,,,,,,
1.11,2.60491,97.71977,100.3247,13478,993,-101, ,,X,Ni conc,Fe conc,del Fe,,,X,Fe,Ni conc,del Ni per amu
1.095,2.710589,97.84033,100.5509,13478,978,-101, ,,0,1,99,0,-0.9009,,0,99,1,0
1.08,2.869503,97.43098,100.3005,13478,963,-101, ,,0.0231,1,99,0,-0.8778,,0.0302,99,1,-0.00001
1.065,3.010013,97.17473,100.1847,13478,948,-101, ,,0.0462,1,99,0,-0.8547,,0.0605,99,1,-0.00002
1.05,3.169926,97.29774,100.4677,13478,933,-101, ,,0.0693,1,99,0,-0.8316,,0.0908,99,1,-0.00008
1.035,3.358244,97.6837,101.0419,13478,918,-101, ,,0.0924,1,99,0,-0.8085,,0.121,99,1,-0.00031
1.02,3.497806,96.44804,99.94585,13478,903,-101, ,,0.1155,1,99,0,-0.7854,,0.1512,99,1,-0.00113
1.005,3.714915,96.44724,100.1622,13478,888,-101, ,,0.1386,1,99,0,-0.7623,,0.1815,99,1,-0.00394
0.99,3.908759,96.21777,100.1265,13478,873,-101, ,,0.1617,1,99,0,-0.7392,,0.2118,99,1,-0.0132
0.975,4.121301,96.12245,100.2437,13478,858,-101, ,,0.1848,1,99,0,-0.7161,,0.242,99,1,-0.04248
0.96,4.407125,95.24593,99.65305,13478,843,-100, ,,0.2079,1,99,0.00001,-0.693,,0.2722,99,1,-0.13094
0.945,4.535997,95.42955,99.96555,13478,828,-100, ,,0.231,1,99,0.00004,-0.6699,,0.3025,98.99,1.01,-0.38459
0.93,4.785255,95.32062,100.1059,13478,813,-100, ,,0.2541,1,99,0.00012,-0.6468,,0.3328,98.98,1.02,-1.06636
0.915,5.072777,94.7665,99.83928,13478,798,-100, ,,0.2772,1,99,0.00033,-0.6237,,0.363,98.94,1.06,-2.73288
0.9,5.332885,94.50735,99.84024,13478,783,-100, ,,0.3003,1,99,0.00087,-0.6006,,0.3932,98.83,1.17,-6.18321
0.885,5.611386,93.92495,99.53634,13478,768,-100, ,,0.3234,1,99,0.00223,-0.5775,,0.4235,98.52,1.48,-11.41043
0.87,5.941094,94.29523,100.2363,13478,753,-100, ,,0.3465,1.01,98.99,0.0055,-0.5544,,0.4537,97.75,2.24,-15.92741
0.855,6.148902,93.93996,100.0889,13478,738,-100, ,,0.3696,1.03,98.97,0.01305,-0.5313,,0.484,96.05,3.93,-16.92809
0.84,6.521715,93.46001,99.98172,13478,723,-100, ,,0.3927,1.07,98.93,0.02966,-0.5082,,0.5143,92.94,7.03,-14.93901
0.825,6.838156,93.53126,100.3694,13478,708,-100, ,,0.4158,1.18,98.83,0.06434,-0.4851,,0.5445,88.41,11.55,-12.02904
0.81,7.116276,92.7951,99.91138,13478,693,-100, ,,0.4389,1.42,98.6,0.13238,-0.462,,0.5748,83.06,16.89,-9.42689
0.795,7.53806,92.81816,100.3562,13478,678,-100, ,,0.462,1.96,98.09,0.25577,-0.4389,,0.605,77.62,22.33,-7.41532
0.78,7.960032,91.8503,99.81033,13478,663,-99, ,,0.4851,3.04,97.04,0.45729,-0.4158,,0.6352,72.49,27.47,-5.90848
0.765,8.30112,91.80617,100.1073,13478,648,-99, ,,0.5082,5.03,95.1,0.74261,-0.3927,,0.6655,67.81,32.14,-4.76836
0.75,8.578279,91.35151,99.92979,13478,633,-99, ,,0.5313,8.16,92.02,1.07864,-0.3696,,0.6957,63.61,36.35,-3.88592
0.735,9.009183,90.8833,99.89249,13478,618,-99, ,,0.5544,12.31,87.91,1.4009,-0.3465,,0.726,59.83,40.13,-3.186
