Electron Microprobe Data,,,,,,Isotope Data,,,,,
No. ,   Fe    ,   Ni    ,  Total  ,x(mm),,Pos X,X',Fe wt%,del Fe ä/amu,del Fe +19.5,error
1,0.059,100.044,100.103,-1.43,,731,0,99.97,,,
2,0.07,100.298,100.368,-1.42,,681,50,99.82,-19.41,0.09,± 0.38
3,0.068,100.398,100.466,-1.41,,631,100,99.29,-19.01,0.49,± 0.38
4,0.07,100.178,100.248,-1.4,,581,150,99.82,,,
5,0.076,100.329,100.405,-1.39,,531,200,99.47,-18.19,1.31,± 0.37
6,0.097,100.149,100.246,-1.38,,481,250,99.32,-19.77,-0.27,± 0.37
7,0.097,100.186,100.283,-1.37,,431,300,99.71,-18.82,0.68,± 0.37
8,0.117,100.304,100.421,-1.36,,381,350,99.45,-16.84,2.66,± 0.36
9,0.105,100.08,100.185,-1.35,,331,400,99.8,-19.68,-0.18,± 0.47
10,0.123,100.396,100.519,-1.34,,281,450,99.29,-19.74,-0.24,± 0.37
11,0.127,100.47,100.597,-1.33,,231,500,99.52,,,
12,0.148,100.464,100.612,-1.32,,181,550,99.33,-19.12,0.38,± 0.36
13,0.154,100.291,100.445,-1.31,,131,600,99.73,,,
14,0.171,100.269,100.44,-1.3,,81,650,99.64,,,
15,0.179,100.246,100.425,-1.29,,31,700,99.21,-19.20,0.30,± 0.35
16,0.201,100.338,100.539,-1.28,,-19,750,99.36,,,
17,0.208,100.029,100.237,-1.27,,-69,800,99.53,-19.27,0.23,± 0.35
18,0.219,100.109,100.328,-1.26,,-119,850,99.82,-18.85,0.65,± 0.35
19,0.243,100.552,100.795,-1.25,,-169,900,99.05,,,
20,0.266,100.372,100.638,-1.24,,-269,1000,99.82,-19.54,-0.04,± 0.35
21,0.291,100.236,100.527,-1.23,,-369,1100,94.26,-19.04,0.46,± 0.35
22,0.304,100.226,100.53,-1.22,,-469,1200,74.34,-18.23,1.27,± 0.35
23,0.351,100.19,100.541,-1.21,,-569,1300,57.72,-19.10,0.40,± 0.37
24,0.358,100.266,100.624,-1.2,,-669,1400,47.11,-20.41,-0.91,± 0.44
25,0.383,100.041,100.424,-1.19,,-769,1500,38.7,-21.90,-2.40,± 0.50
26,0.419,100.083,100.502,-1.18,,-869,1600,32.27,-22.76,-3.26,± 0.62
27,0.464,99.96,100.424,-1.17,,-969,1700,26.43,-23.27,-3.77,± 0.69
28,0.487,100.012,100.499,-1.16,,-1019,1750,24.33,-23.65,-4.15,± 0.75
29,0.524,100.001,100.525,-1.15,,-1069,1800,21.55,-25.41,-5.91,± 0.76
30,0.571,100.06,100.631,-1.14,,-1119,1850,19.81,-25.67,-6.17,± 0.81
31,0.6,99.858,100.458,-1.13,,-1169,1900,17.39,-26.30,-6.80,± 0.88
32,0.641,100.019,100.66,-1.12,,-1219,1950,15.04,-28.25,-8.75,± 0.95
33,0.697,99.764,100.461,-1.11,,-1269,2000,13.13,-29.21,-9.71,± 1.04
34,0.738,99.563,100.301,-1.1,,-1319,2050,11.47,-26.64,-7.14,± 1.14
35,0.793,99.734,100.527,-1.09,,-1369,2100,9.65,-29.16,-9.66,± 1.25
36,0.834,99.778,100.612,-1.08,,-1416,2147,8.13,-30.36,-10.86,± 1.39
37,0.913,99.573,100.486,-1.07,,-1469,2200,6.49,-31.28,-11.78,± 1.62
38,0.969,99.476,100.445,-1.06,,-1519,2250,5.74,-30.68,-11.18,± 1.82
39,1.029,99.373,100.402,-1.05,,-1569,2300,4.37,-31.38,-11.88,± 2.52
40,1.141,99.523,100.664,-1.04,,-1619,2350,3.53,-31.39,-11.89,± 2.71
41,1.211,99.32,100.531,-1.03,,-1669,2400,2.53,-37.75,-18.25,± 3.09
42,1.302,99.444,100.746,-1.02,,-1719,2450,2,-43.45,-23.95,± 3.57
43,1.411,99.48,100.891,-1.01,,-1769,2500,1.5,-41.40,-21.90,± 4.19
44,1.456,99.318,100.774,-1,,,,,,,
45,1.55,99.175,100.725,-0.99,,,,,,,
46,1.652,99.104,100.756,-0.98,,,,,,,,,
47,1.756,99.002,100.758,-0.97,,Position,,Delta Fe,,,,Delta Ni,
48,1.914,99.032,100.946,-0.96,,,,,,,,,
49,1.959,98.711,100.67,-0.95,,-550,,-26.4,0.4,,,-20.3,1.5
50,2.123,98.639,100.762,-0.94,,-575,,-24.6,5.0,,,-20.5,0.9
51,2.237,98.458,100.695,-0.93,,-600,,-24.7,4.2,,,-17.9,2.0
52,2.382,98.316,100.698,-0.92,,-625,,-25.9,2.7,,,-17.3,1.8
53,2.5,98.292,100.792,-0.91,,-650,,-27.1,8.0,,,-16.4,1.7
54,2.681,98.097,100.778,-0.9,,-675,,-27.2,3.4,,,-16.8,1.9
55,2.809,98.064,100.873,-0.89,,-700,,-25.0,2.2,,,-15.6,3.3
56,2.958,97.973,100.931,-0.88,,-725,,-26.3,1.4,,,-15.7,2.5
57,3.129,97.59,100.719,-0.87,,-750,,-26.7,0.1,,,-16.0,1.9
58,3.273,97.244,100.517,-0.86,,-775,,-26.2,3.4,,,-15.9,1.2
59,3.482,97.439,100.921,-0.85,,-800,,-28.0,2.6,,,-16.2,1.0
60,3.655,96.993,100.648,-0.84,,-825,,-27.9,0.3,,,-17.2,2.5
61,3.823,96.94,100.763,-0.83,,-850,,-26.8,1.4,,,-14.0,3.8
62,4.004,96.888,100.892,-0.82,,-875,,-27.3,3.2,,,-16.4,3.1
63,4.207,96.397,100.604,-0.81,,-900,,-28.1,1.0,,,-16.0,0.5
64,4.43,96.412,100.842,-0.8,,-925,,-27.6,5.7,,,-17.1,2.1
65,4.678,96.163,100.841,-0.79,,-950,,-27.9,0.9,,,-15.2,0.8
66,4.882,95.89,100.772,-0.78,,-975,,-28.5,3.1,,,-16.3,3.2
67,5.15,95.765,100.915,-0.77,,-1000,,-30.0,2.9,,,-16.0,1.0
68,5.335,95.312,100.647,-0.76,,-1025,,-30.5,0.4,,,-16.7,2.0
69,5.609,95.058,100.667,-0.75,,-1050,,-29.9,3.3,,,-15.2,2.4
70,5.835,95.012,100.847,-0.74,,-1075,,-31.5,5.3,,,-14.7,3.9
71,6.098,94.591,100.689,-0.73,,-1100,,-29.9,6.6,,,-16.4,1.2
72,6.384,94.346,100.73,-0.72,,-1125,,-30.9,3.2,,,-16.3,1.6
73,6.661,94.236,100.897,-0.71,,-1150,,-30.6,7.6,,,-16.1,1.6
74,6.945,93.774,100.719,-0.7,,-1175,,-31.6,3.4,,,-15.3,2.1
75,7.205,93.548,100.753,-0.69,,-1200,,-31.5,6.6,,,-15.3,2.0
76,7.518,93.273,100.791,-0.68,,-1225,,-31.8,3.1,,,-16.3,1.0
77,7.819,93.119,100.938,-0.67,,-1250,,-33.4,5.0,,,-16.9,1.9
78,8.157,92.695,100.852,-0.66,,-1275,,-32.1,8.1,,,-17.2,0.7
79,8.418,92.274,100.692,-0.65,,-1300,,-33.9,1.3,,,-16.5,1.2
80,8.719,91.826,100.545,-0.64,,-1325,,-31.1,7.7,,,-15.0,3.2
81,9.088,91.613,100.701,-0.63,,-1350,,-35.2,1.6,,,-17.0,2.8
82,9.485,91.51,100.995,-0.62,,-1375,,-36.4,1.2,,,-17.2,1.4
83,9.813,91.14,100.953,-0.61,,-1400,,-35.5,4.2,,,-16.4,1.1
84,10.083,90.738,100.821,-0.6,,-1425,,-38.7,1.0,,,-15.5,3.3
85,10.455,90.454,100.909,-0.59,,-1450,,-35.8,2.5,,,-15.5,1.1
86,10.827,90.143,100.97,-0.58,,-1475,,-36.2,5.3,,,-16.0,0.6
87,11.269,89.829,101.098,-0.57,,-1500,,-38.2,3.8,,,-17.4,3.6
88,11.579,89.405,100.984,-0.56,,-1551,-1017,-41.1,1.7,,,-15.3,1.8
89,11.899,89.106,101.005,-0.55,,-1551,-969,-39.6,1.2,,,-16.1,0.2
90,12.308,88.48,100.788,-0.54,,-1551,-925,,,-35.4,19.3,-14.4,3.0
