1 1450 295 155 0.76 99.22 7.601 3.80 1.289 3.76 -2.262 3.51 
2 1375 295 230 1.10 98.99 2.042 2.93 -4.269 2.88 -7.812 2.54 
3 1300 295 305 1.05 98.87 6.557 3.79 0.245 3.74 -3.292 3.50 
4 1225 295 380 1.07 99.03 3.609 3.74 -2.702 3.69 -6.246 3.44 
5 1150 295 455 1.41 98.62 -0.901 2.71 -7.213 2.65 -10.742 2.28 
6 1075 295 530 1.81 98.24 -5.231 2.68 -11.542 2.62 -15.057 2.25 
7 1000 295 605 2.86 97.09 -2.926 2.26 -9.238 2.19 -12.712 1.74 
8 925 295 680 4.66 95.34 -3.381 2.24 -9.693 2.17 -13.104 1.74 
9 850 295 755 7.73 92.31 -0.598 2.03 -6.910 1.95 -10.213 1.50 
10 775 295 830 11.37 88.55 0.439 1.76 -5.873 1.67 -9.041 1.15 
11 700 295 905 15.09 84.80 1.394 1.62 -4.917 1.52 -7.952 0.99 
12 625 295 980 20.79 79.07 2.068 1.63 -4.243 1.53 -7.073 1.09 
13 550 295 1055 26.28 73.70 2.514 1.53 -3.797 1.43 -6.435 1.02 
14 475 295 1130 32.64 67.37 0.641 1.41 -5.671 1.29 -8.081 0.91 
15 400 295 1205 41.15 58.57 0.566 1.43 -5.746 1.32 -7.842 1.05 
16 400 241 1215 41.82 57.91 0.751 1.30 -5.561 1.17 -7.633 0.86 
17 325 241 1290 52.05 47.61 0.302 1.30 -6.010 1.17 -7.713 0.97 
18 250 241 1365 66.67 32.86 1.287 1.62 -5.025 1.52 -6.201 1.45 
19 175 241 1440 88.68 10.71 -0.398 1.35 -6.709 1.23 -7.093 1.22 
20 100 241 1515 97.90 1.64 -2.041 1.58 -8.353 1.48 -8.412 1.47 
21 25 241 1590 98.31 1.10 0.266 1.67 -6.045 1.57 -6.085 1.57 
22 -50 241 1665 98.75 0.70 -0.335 1.91 -6.646 1.82 -6.672 1.82 
23 -125 241 1740 98.52 1.00 0.044 1.22 -6.267 1.09 -6.303 1.09 
24 -200 241 1815 98.30 1.02 -0.243 1.55 -6.555 1.44 -6.591 1.44 
25 -275 241 1890 98.81 0.82 0.267 1.33 -6.044 1.21 -6.074 1.21 
