1 -800 605 475 98.40 0.87 -2.70 14.14 -16.44 13.91 -14.01 13.89 8.39 125.54 -14.29 13.97
2 -650 605 625 98.53 0.79 1.34 14.00 -12.40 14.00 -9.97 13.98 -52.16 121.76 -9.41 14.07
3 -500 605 775 98.54 0.92 -9.03 13.92 -22.78 13.92 -20.35 13.90 -130.59 117.54 -18.78 14.00
4 -425 605 850 98.81 0.75 2.00 14.29 -11.74 14.29 -9.30 14.27 -74.05 122.75 -8.42 14.37
5 -350 605 925 98.81 0.82 -5.19 13.85 -18.93 13.85 -16.50 13.84 -75.71 119.95 -15.70 13.93
6 -275 605 1000 98.30 1.02 1.99 13.80 -11.75 13.80 -9.33 13.78 -65.25 119.10 -8.57 13.88
7 -200 605 1075 98.52 1.00 -6.57 13.60 -20.32 13.60 -17.89 13.59 -58.64 118.99 -17.35 13.68
8 -125 605 1150 98.77 0.69 -4.09 13.67 -17.83 13.67 -15.40 13.66 43.86 125.72 -16.11 13.74
9 -50 605 1225 98.25 1.15 2.47 13.64 -11.28 13.64 -8.86 13.62 -53.94 118.43 -8.25 13.71
10 25 605 1300 97.73 1.78 -12.27 11.92 -26.01 11.92 -23.60 11.91 -89.17 103.33 -22.72 11.99
11 100 605 1375 87.77 11.63 -13.43 5.13 -27.17 5.13 -25.01 5.10 -36.02 45.69 -24.87 5.13
12 175 605 1450 66.67 32.86 -5.48 2.00 -19.23 2.00 -17.58 1.94 -25.29 17.35 -17.49 1.95
13 225 605 1500 55.86 43.74 -3.90 1.78 -17.64 1.78 -16.26 1.74 -20.95 15.55 -16.20 1.75
14 300 605 1575 45.89 53.88 -2.14 1.61 -15.89 1.61 -14.75 1.58 -12.50 14.12 -14.78 1.59
15 375 605 1650 36.73 62.99 -0.55 1.53 -14.29 1.53 -13.39 1.51 -5.60 13.52 -13.49 1.52
16 450 605 1725 29.34 70.68 -0.36 1.53 -14.10 1.53 -13.38 1.52 -16.82 13.55 -13.34 1.53
17 525 605 1800 23.81 76.11 -0.69 1.59 -14.43 1.59 -13.85 1.58 -11.01 14.16 -13.88 1.59
18 600 605 1875 17.97 81.92 -2.40 1.71 -16.14 1.71 -15.70 1.71 -14.46 15.30 -15.72 1.72
19 675 605 1950 12.66 87.15 -2.02 1.66 -15.77 1.66 -15.45 1.66 -17.21 14.84 -15.43 1.67
20 750 605 2025 9.54 90.47 -2.57 1.75 -16.32 1.75 -16.08 1.75 -18.05 15.67 -16.06 1.76
21 825 605 2100 6.08 93.92 -3.20 1.81 -16.94 1.81 -16.79 1.81 -18.03 16.26 -16.77 1.82
22 900 605 2175 3.67 96.31 -1.04 1.96 -14.78 1.96 -14.69 1.96 -22.28 17.49 -14.59 1.97
23 975 605 2250 2.15 97.75 0.41 2.00 -13.33 2.00 -13.28 2.00 -12.21 17.89 -13.30 2.01
24 1050 605 2325 1.59 98.48 1.60 2.03 -12.14 2.03 -12.11 2.03 -3.11 18.21 -12.22 2.04
25 1125 605 2400 1.28 98.76 -1.61 2.03 -15.35 2.03 -15.32 2.03 5.41 18.40 -15.59 2.04
26 1200 605 2475 0.99 99.03 0.29 2.11 -13.45 2.11 -13.43 2.11 2.27 19.02 -13.62 2.12
27 1275 605 2550 1.07 99.12 -1.51 2.01 -15.25 2.01 -15.23 2.01 -15.08 18.02 -15.23 2.02
28 1350 555 2625 0.94 99.10 0.64 2.03 -13.10 2.03 -13.08 2.03 -1.32 18.32 -13.22 2.05
29 1425 555 2700 0.86 98.92 0.59 2.13 -13.15 2.13 -13.13 2.13 -21.13 18.98 -13.03 2.14
