1 1196 400 464 98.652 0.948 -0.74 4.44 -15.01 4.12 -12.68 4.07 
2 1121 402 539 98.808 0.948 -5.47 3.50 -19.75 3.10 -17.41 3.03 
3 1046 405 614 97.626 1.735 -6.36 3.24 -20.64 2.79 -18.33 2.72 
4 971 408 689 95.82 3.658 -8.35 2.74 -22.62 2.19 -20.36 2.10 
5 896 410 764 90.923 8.818 -11.12 2.34 -25.39 1.66 -23.24 1.55 
6 821 412 839 81.195 18.215 -8.50 2.16 -22.78 1.41 -20.85 1.30 
7 746 415 914 71.144 28.484 -6.73 2.10 -21.01 1.31 -19.32 1.22 
8 671 418 989 61.488 38.123 -3.12 1.92 -17.39 0.99 -15.94 0.90 
9 596 420 1064 54.520 45.090 -2.80 1.87 -17.07 0.88 -15.78 0.81 
10 521 422 1139 48.374 51.12 -0.93 2.01 -15.21 1.16 -14.06 1.12 
11 446 425 1214 42.902 56.598 -0.95 1.94 -15.23 1.03 -14.21 0.99 
12 371 428 1289 38.062 61.848 -0.86 1.82 -15.13 0.77 -14.23 0.73 
13 296 430 1365 33.454 66.51 -0.36 1.97 -14.63 1.09 -13.84 1.06 
14 221 432 1440 30.365 69.158 0.53 1.92 -13.75 1.00 -13.03 0.98 
15 146 435 1515 26.995 72.748 0.60 1.89 -13.67 0.94 -13.03 0.92 
16 71 438 1590 24.592 75.172 -0.16 2.93 -14.44 2.42 -13.86 2.42 
17 -4 440 1665 21.010 78.875 0.08 2.16 -14.20 1.40 -13.70 1.39 
18 -79 442 1740 18.180 81.570 -0.93 2.53 -15.20 1.92 -14.77 1.92 
19 -154 445 1815 15.564 84.646 0.54 1.96 -13.73 1.07 -13.37 1.06 
20 -229 448 1890 12.647 87.178 -0.88 1.89 -15.16 0.94 -14.86 0.93 
21 -304 450 1965 10.286 89.674 -0.40 1.93 -14.67 1.01 -14.43 1.01 
22 -379 452 2040 8.39 91.451 0.37 2.00 -13.90 1.14 -13.70 1.13 
23 -454 455 2115 6.705 93.375 0.24 1.87 -14.04 0.90 -13.88 0.90 
24 -529 458 2190 5.569 94.309 1.75 2.02 -12.52 1.17 -12.39 1.17 
25 -604 460 2265 4.232 95.852 -0.66 2.42 -14.94 1.77 -14.84 1.77 
26 -679 462 2340 3.335 96.464 0.77 2.58 -13.50 1.99 -13.42 1.99 
27 -754 465 2415 2.738 97.2 -0.39 2.64 -14.67 2.06 -14.61 2.06 
28 -829 468 2490 1.79 98.1 -0.42 2.22 -14.70 1.50 -14.66 1.50 
