Name,Abbreviation,POP1990,POP2000,POP2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90_00,Pop_Dens_change_00_10,Pop_Dens_change_90_10,Latitude,Longitude,Area_square_miles
Clinton,CLIN,85969,79894,82128,76.977,71.537,73.537,-5.440,2.000,-3.439,44.7462,-75.435218,1116.821
Franklin,FRAN,46540,51134,51599,27.437,30.145,30.419,2.708,0.274,2.982,44.5929,-76.553039,1696.261
St. Lawrence,STLA,111974,111931,111944,39.725,39.710,39.715,-0.015,0.005,-0.011,44.4964,-78.744224,2818.702
Essex,ESSE,37152,38851,39370,19.400,20.287,20.558,0.887,0.271,1.158,44.1173,-78.229705,1915.064
Jefferson,JEFF,110943,111738,116229,63.270,63.723,66.284,0.453,2.561,3.015,44.0152,-77.692359,1753.487
Lewis,LEWI,26796,26944,27087,20.767,20.881,20.992,0.115,0.111,0.226,43.7847,-77.024215,1290.332
Hamilton,HAMI,5279,5379,4836,2.923,2.978,2.677,0.055,-0.301,-0.245,43.6612,-73.678939,1806.231
Warren,WARR,59209,63303,65707,63.621,68.020,70.603,4.399,2.583,6.982,43.5611,-74.306541,930.658
Orleans,ORLE,41846,44171,42883,51.506,54.368,52.783,2.862,-1.585,1.276,43.3815,-73.770339,812.443
Oswego,OSWE,121771,122377,122109,86.960,87.393,87.202,0.433,-0.191,0.241,43.4815,-74.498092,1400.303
Niagara,NIAG,220756,219846,216469,193.538,192.741,189.780,-0.798,-2.961,-3.758,43.3358,-74.964744,1140.631
Wayne,WAYN,89123,93765,93772,63.878,67.205,67.210,3.327,0.005,3.332,43.3278,-73.433044,1395.210
Washington,WASH,59330,61042,63216,70.141,72.165,74.735,2.024,2.570,4.594,43.3137,-73.851974,845.870
Fulton,FULT,54191,55073,55531,101.755,103.411,104.271,1.656,0.860,2.516,43.1139,-73.866508,532.563
Monroe,MONR,713968,735343,744344,516.398,531.858,538.368,15.460,6.510,21.970,43.3121,-74.424919,1382.593
Genesee,GENE,60060,60370,60079,121.160,121.785,121.198,0.625,-0.587,0.038,43.0009,-74.439094,495.708
Montgomery,MONT,51981,49708,50219,126.782,121.238,122.485,-5.544,1.246,-4.298,42.9023,-73.50904,410.002
Onondaga,ONON,468973,458336,467026,582.488,569.276,580.070,-13.212,10.793,-2.418,43.0058,-74.062339,805.120
