NAME,MUNI_TYPE,POP_1990,POP_2000,POP_2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90-00,Pop_Dens_change_00-10,Pop_Dens_change_90-10,Area_square_miles,Longitude,Latitude
Adams,town,4977,4782,5143,117.430,112.829,121.347,-4.601,8.518,3.917,42.383,-76.037914,43.851068
Addison,town,2645,2640,2595,103.005,102.810,101.058,-0.195,-1.752,-1.947,25.678,-77.240435,42.137179
Afton,town,2972,2977,2851,63.662,63.770,61.071,0.107,-2.699,-2.592,46.684,-75.52419,42.227546
Alabama,town,1998,1881,1869,38.406,36.157,35.927,-2.249,-0.231,-2.480,52.023,-78.387795,43.082029
Albany,city,101082,95658,97856,4609.456,4362.116,4462.347,-247.341,100.231,-147.109,21.929,-73.79855,42.666432
Albion,town,2043,2083,2073,42.721,43.558,43.349,0.836,-0.209,0.627,47.822,-76.031414,43.494674
Albion,town,8178,8042,8468,322.437,317.075,333.871,-5.362,16.796,11.434,25.363,-78.208041,43.232285
Alden,town,10372,10470,10865,300.131,302.967,314.397,2.836,11.430,14.266,34.558,-78.521041,42.911386
Alexander,town,2233,2451,2534,62.731,68.856,71.187,6.124,2.332,8.456,35.596,-78.250236,42.913706
Alexandria,town,3949,4097,4061,46.809,48.563,48.136,1.754,-0.427,1.328,84.365,-75.875388,44.314641
Alfred,town,5791,5140,5237,183.254,162.654,165.723,-20.601,3.070,-17.531,31.601,-77.789147,42.238555
Allegany,town,8327,8230,8004,115.302,113.959,110.830,-1.343,-3.129,-4.473,72.219,-78.521485,42.086948
Allen,town,406,462,448,11.092,12.622,12.240,1.530,-0.382,1.147,36.601,-78.015112,42.391384
Alma,town,846,847,842,23.167,23.195,23.058,0.027,-0.137,-0.110,36.517,-78.015105,42.042978
Almond,town,1640,1604,1633,35.833,35.046,35.680,-0.787,0.634,-0.153,45.768,-77.786575,42.344856
Altona,town,2775,3160,2887,27.369,31.167,28.474,3.797,-2.693,1.105,101.391,-73.666298,44.849769
Amboy,town,1010,1312,1263,26.767,34.771,33.472,8.004,-1.299,6.705,37.733,-75.931103,43.379248
Amenia,town,5195,4048,4436,118.997,92.724,101.612,-26.273,8.888,-17.386,43.656,-73.553593,41.824233
Amherst,town,111711,116510,122366,2084.432,2173.978,2283.246,89.545,109.268,198.813,53.593,-78.756981,43.011666
Amity,town,2255,2245,2308,65.142,64.853,66.673,-0.289,1.820,1.531,34.617,-78.016966,42.218307
Amsterdam,city,20714,18355,18620,3328.971,2949.853,2992.441,-379.118,42.588,-336.529,6.222,-74.19092,42.94212
Amsterdam,town,5962,5820,5566,196.626,191.943,183.566,-4.683,-8.377,-13.060,30.322,-74.166886,42.955185
Ancram,town,1510,1513,1573,35.331,35.401,36.805,0.070,1.404,1.474,42.739,-73.582205,42.035167
Andes,town,1291,1356,1301,11.519,12.099,11.608,0.580,-0.491,0.089,112.074,-74.790246,42.130595
Andover,town,1981,1945,1830,50.103,49.192,46.284,-0.910,-2.909,-3.819,39.539,-77.806673,42.151174
