ELEM:,Mo,S,Fe,SUM,,,,,,,
448,100.083,0,0.006,100.089,,99.9940053352516,0,0.005994664748374,100,0.027,0.016
449,100.212,0.045,0,100.257,,99.9551153535414,0.044884646458601,0,100,0.027,0.016
450,100.014,0,0,100.014,,100,0,0,100,0.027,0.016
451,99.126,0.051,0,99.176,,99.9485767869566,0.051423213043347,0,100,0.027,0.016
452,99.089,0.023,0.041,99.153,,99.9354532893609,0.023196474135931,0.041350236503182,100,0.027,0.016
453,99.489,0,0.036,99.525,,99.9638281838734,0,0.036171816126601,100,0.027,0.016
454,99.766,0,0,99.766,,100,0,0,100,0.027,0.016
455,100.043,0.026,0.018,100.087,,99.9560382467254,0.025977399662294,0.017984353612357,100,0.027,0.016
456,99.743,0.019,0,99.761,,99.9809546721196,0.019045327880355,0,100,0.027,0.016
457,100.537,0,0,100.537,,100,0,0,100,0.027,0.016
458,99.222,0.01,0,99.233,,99.9899226056111,0.010077394388907,0,100,0.027,0.016
459,99.183,0,0.023,99.206,,99.976815918392,0,0.023184081607967,100,0.027,0.016
460,97.283,0.046,0,97.33,,99.9527376218804,0.047262378119574,0,100,0.027,0.016
461,100.981,0,0,100.981,,100,0,0,100,0.027,0.016
462,99.765,0,0,99.765,,100,0,0,100,0.027,0.016
463,100.468,0.037,0,100.506,,99.9631859111487,0.036814088851301,0,100,0.027,0.016
464,100.334,0.011,0,100.345,,99.9890378195226,0.010962180477353,0,100,0.027,0.016
465,99.909,0,0.022,99.931,,99.9779848095186,0,0.022015190481432,100,0.027,0.016
466,100.407,0.042,0,100.448,,99.9581877370606,0.041812262939402,0,100,0.027,0.016
467,100.354,0.049,0,100.403,,99.9511966773901,0.048803322609882,0,100,0.027,0.016
468,99.736,0,0,99.736,,100,0,0,100,0.027,0.016
469,99.667,0.012,0.011,99.69,,99.9769284782827,0.012037315678604,0.01103420603872,100,0.027,0.016
470,99.563,0.027,0,99.589,,99.9728888442615,0.027111155738528,0,100,0.027,0.016
471,99.632,0.004,0.001,99.638,,99.9949817838755,0.004014572899626,0.001003643224906,100,0.027,0.016
472,99.82,0,0,99.82,,100,0,0,100,0.027,0.016
