ELEM:,Mo,S,Fe,SUM,,,,,,,
346,99.363,0.06,0,99.423,,99.9396517908331,0.060348209166893,0,100,0.027,0.039
347,98.527,0.044,0.014,98.585,,99.9411675204139,0.044631536237764,0.01420094334838,100,0.027,0.039
348,99.06,0.022,0.031,99.112,,99.9465256828065,0.02219688638221,0.031277430811296,100,0.027,0.039
349,98.694,0.064,0.018,98.775,,99.9169838827246,0.064793067141816,0.018223050133636,100,0.027,0.039
350,98.087,0.001,0.05,98.138,,99.9480323625914,0.001018973282521,0.050948664126027,100,0.027,0.039
351,99.502,0.022,0,99.523,,99.9778947791487,0.022105220851252,0,100,0.027,0.039
352,99.289,0,0,99.289,,100,0,0,100,0.027,0.039
353,97.924,0.011,0,97.935,,99.9887680604483,0.011231939551744,0,100,0.027,0.039
354,97.676,0.089,0.03,97.794,,99.8783168873664,0.091006697683931,0.03067641494964,100,0.027,0.039
355,97.47,0.022,0,97.492,,99.9774340458704,0.02256595412957,0,100,0.027,0.039
356,97.595,0.032,0,97.627,,99.9672221823881,0.032777817611931,0,100,0.027,0.039
357,96.228,0.069,0,96.296,,99.9283466774666,0.071653322533412,0,100,0.027,0.039
358,96.893,0.093,0,96.986,,99.9041098715278,0.095890128472151,0,100,0.027,0.039
359,98.573,0.004,0,98.578,,99.9959422583361,0.004057741663877,0,100,0.027,0.039
360,97.753,0.025,0.074,97.852,,99.8988267996566,0.025548787965499,0.075624412377877,100,0.027,0.039
361,98.298,0.038,0,98.336,,99.9613569801497,0.038643019850309,0,100,0.027,0.039
362,97.535,0.051,0.047,97.634,,99.8996241025063,0.05223643645079,0.048139461042885,100,0.027,0.039
363,98.811,0.061,0,98.872,,99.9383040699086,0.061695930091431,0,100,0.027,0.039
364,98.117,0.068,0.021,98.206,,99.9093741726575,0.069242205160581,0.021383622181944,100,0.027,0.039
365,98.24,0.079,0,98.319,,99.9196493048139,0.080350695186078,0,100,0.027,0.039
366,97.117,0.057,0.011,97.184,,99.9300303544786,0.058651026392962,0.011318619128466,100,0.027,0.039
367,99.293,0.009,0,99.302,,99.9909367384343,0.009063261565729,0,100,0.027,0.039
368,98.478,0.046,0.078,98.602,,99.874241901787,0.046652197724184,0.079105900488834,100,0.027,0.039
369,98.482,0,0.02,98.501,,99.9796958437392,0,0.020304156260787,100,0.027,0.039
370,98.853,0,0,98.853,,100,0,0,100,0.027,0.039
